Log_ID,Date,User_ID,Age,Gender,Device_Type,Steps,Distance_km,Calories_Burned,Active_Minutes,Sleep_Duration_Hours,Heart_Rate_Avg,Weather_Condition
FT-1028,2026-02-10,USR-121,49,Female,Garmin Venu 3,9084.0,6.89,2053,72.0,8.2,78,Cloudy
FT-1029,2026-02-26,USR-123,27,Male,Garmin Venu 3,9025.0,7.31,2177,83.0,7.5,77,Cloudy
FT-1030,2026-03-20,USR-118,42,Female,Garmin Venu 3,8108.0,6.14,2168,72.0,6.8,80,Sunny
FT-1031,2026-03-06,USR-114,49,Non-binary,Fitbit Charge 5,6151.0,3.97,1783,61.0,6.2,77,Cloudy
FT-1032,2026-02-24,USR-108,30,Male,Samsung Galaxy Watch 6,,8.04,2130,,,87,
FT-1033,2026-03-12,USR-115,41,Female,Apple Watch Series 9,9659.0,6.98,2099,76.0,9.4,80,Sunny
FT-1034,2026-02-27,USR-119,43,Non-binary,Garmin Venu 3,7379.0,5.35,1877,58.0,7.1,73,Cloudy
FT-1035,2026-01-21,USR-109,36,Male,Apple Watch Series 9,13268.0,9.85,2518,92.0,8.0,87,Cloudy
FT-1036,2026-03-02,USR-101,38,Male,Samsung Galaxy Watch 6,6983.0,5.86,1832,53.0,6.2,75,Rainy
FT-1037,2026-02-27,USR-125,22,Non-binary,Apple Watch Series 9,9951.0,6.71,2237,110.0,6.2,86,Rainy
FT-1038,2026-02-03,USR-106,41,Female,Fitbit Charge 5,8794.0,7.94,2159,,8.3,77,Rainy
FT-1039,2026-02-01,USR-123,27,Male,Garmin Venu 3,,6.73,1863,56.0,5.6,73,Sunny
FT-1040,2026-03-23,USR-114,49,Non-binary,Fitbit Charge 5,9216.0,7.09,2012,63.0,6.6,78,Sunny
FT-1041,2026-02-05,USR-111,23,Male,Apple Watch Series 9,6791.0,5.14,1995,65.0,7.1,78,Rainy
FT-1042,2026-03-08,USR-109,36,Male,Apple Watch Series 9,10181.0,7.85,2169,88.0,7.2,83,Rainy
FT-1043,2026-03-04,USR-105,51,Female,Apple Watch Series 9,11106.0,8.65,2257,94.0,6.9,79,Rainy
FT-1044,2026-03-22,USR-107,40,Non-binary,Garmin Venu 3,10371.0,8.14,2126,81.0,7.5,69,Sunny
FT-1045,2026-01-31,USR-125,22,Non-binary,Apple Watch Series 9,10361.0,8.1,2031,,7.9,77,Sunny
FT-1046,2026-02-05,USR-111,23,Male,Apple Watch Series 9,8356.0,6.39,2094,73.0,7.9,84,Cloudy
FT-1047,2026-02-26,USR-104,45,Female,Fitbit Charge 5,7877.0,5.91,2196,68.0,6.0,77,Snowy
FT-1048,2026-01-10,USR-103,46,Non-binary,Apple Watch Series 9,11710.0,8.84,2185,70.0,6.8,77,Snowy
FT-1049,2026-02-06,USR-113,52,Non-binary,Fitbit Charge 5,9251.0,6.95,2125,74.0,8.4,85,Rainy
FT-1050,2026-01-31,USR-104,45,Female,Fitbit Charge 5,8323.0,6.78,2076,61.0,8.1,73,Cloudy
FT-1051,2026-02-04,USR-112,29,Non-binary,Garmin Venu 3,9303.0,7.31,1996,78.0,,70,Sunny
FT-1052,2026-02-12,USR-112,29,Non-binary,Garmin Venu 3,17203.0,11.9,2973,159.0,7.5,86,Cloudy
FT-1053,2026-02-10,USR-120,46,Non-binary,Apple Watch Series 9,9504.0,7.49,2169,82.0,4.9,77,Rainy
FT-1054,2026-03-11,USR-109,36,Male,Apple Watch Series 9,11415.0,8.75,2411,87.0,7.2,74,Cloudy
FT-1055,2026-01-11,USR-102,49,Non-binary,Garmin Venu 3,8873.0,6.74,2055,83.0,9.2,79,Cloudy
FT-1056,2026-01-18,USR-124,51,Female,Samsung Galaxy Watch 6,11855.0,8.85,2497,98.0,6.1,84,Snowy
FT-1057,2026-01-20,USR-115,41,Female,Apple Watch Series 9,10016.0,8.06,2260,85.0,6.2,80,Sunny
FT-1058,2026-01-30,USR-118,42,Female,Garmin Venu 3,7460.0,6.05,2068,70.0,7.9,80,Rainy
FT-1059,2026-02-19,USR-104,45,Female,Fitbit Charge 5,11170.0,8.18,2365,,5.4,93,Sunny
FT-1060,2026-03-30,USR-113,52,Non-binary,Fitbit Charge 5,11094.0,8.59,2165,77.0,6.4,77,Sunny
FT-1061,2026-01-20,USR-103,46,Non-binary,Apple Watch Series 9,,8.75,2446,,7.8,83,Sunny
FT-1062,2026-01-28,USR-118,42,Female,Garmin Venu 3,11350.0,8.07,2232,81.0,6.4,77,Cloudy
FT-1063,2026-01-09,USR-110,38,Male,Fitbit Charge 5,15911.0,11.84,2406,126.0,6.8,79,Cloudy
FT-1064,2026-02-23,USR-121,49,Female,Garmin Venu 3,6317.0,5.15,1752,47.0,7.9,73,Rainy
FT-1065,2026-02-22,USR-120,46,Non-binary,Apple Watch Series 9,9868.0,7.88,2118,76.0,7.6,76,Sunny
FT-1066,2026-02-12,USR-112,29,Non-binary,Garmin Venu 3,,5.85,2002,61.0,7.4,80,Sunny
FT-1067,2026-03-11,USR-119,43,Non-binary,Garmin Venu 3,15299.0,11.92,2573,126.0,6.7,98,Rainy
FT-1068,2026-03-01,USR-107,40,Non-binary,Garmin Venu 3,,8.77,2418,,7.5,77,Cloudy
FT-1069,2026-02-23,USR-123,27,Male,Garmin Venu 3,10862.0,8.0,1972,74.0,7.0,76,Sunny
FT-1070,2026-01-08,USR-103,46,Non-binary,Apple Watch Series 9,,9.2,2312,94.0,,81,Snowy
FT-1071,2026-01-27,USR-102,49,Non-binary,Garmin Venu 3,7341.0,5.9,1763,56.0,6.6,79,Sunny
FT-1072,2026-02-23,USR-122,32,Non-binary,Fitbit Charge 5,11963.0,9.39,2323,82.0,6.9,81,Cloudy
FT-1073,2026-02-19,USR-108,30,Male,Samsung Galaxy Watch 6,12735.0,10.15,2336,97.0,6.0,89,Sunny
FT-1074,2026-03-16,USR-125,22,Non-binary,Apple Watch Series 9,8440.0,6.7,2085,68.0,7.1,64,
FT-1075,2026-03-31,USR-110,38,Male,Fitbit Charge 5,,6.14,2038,91.0,6.2,66,Sunny
FT-1076,2026-01-03,USR-103,46,Non-binary,Apple Watch Series 9,9654.0,7.77,2287,83.0,5.9,77,Rainy
FT-1077,2026-03-15,USR-108,30,Male,Samsung Galaxy Watch 6,8906.0,6.76,2130,60.0,7.4,84,Snowy
FT-1078,2026-02-18,USR-104,45,Female,Fitbit Charge 5,10152.0,7.36,2210,77.0,7.3,70,Cloudy
FT-1079,2026-03-03,USR-113,52,Non-binary,Fitbit Charge 5,10285.0,7.75,2216,93.0,8.0,63,Sunny
FT-1080,2026-01-01,USR-109,36,Male,Apple Watch Series 9,8515.0,6.17,2212,92.0,6.6,84,Cloudy
FT-1081,2026-02-15,USR-115,41,Female,Apple Watch Series 9,15291.0,11.35,2395,101.0,7.5,83,Sunny
FT-1082,2026-02-08,USR-121,49,Female,Garmin Venu 3,6021.0,4.52,1888,36.0,,69,Cloudy
FT-1083,2026-02-19,USR-112,29,Non-binary,Garmin Venu 3,10394.0,7.58,2444,103.0,7.6,76,Cloudy
FT-1084,2026-02-23,USR-106,41,Female,Fitbit Charge 5,8592.0,6.41,2192,76.0,6.2,73,Cloudy
FT-1085,2026-03-10,USR-112,29,Non-binary,Garmin Venu 3,10764.0,7.42,2108,78.0,,80,Sunny
FT-1086,2026-03-11,USR-112,29,Non-binary,Garmin Venu 3,8299.0,6.39,2105,75.0,7.5,75,Rainy
FT-1087,2026-03-19,USR-107,40,Non-binary,Garmin Venu 3,11535.0,8.77,2024,65.0,7.1,81,Sunny
FT-1088,2026-01-29,USR-122,32,Non-binary,Fitbit Charge 5,11178.0,8.17,2304,,4.8,63,Sunny
FT-1089,2026-03-04,USR-109,36,Male,Apple Watch Series 9,9415.0,7.42,2186,81.0,7.3,74,Cloudy
FT-1090,2026-01-29,USR-123,27,Male,Garmin Venu 3,12453.0,9.84,2192,107.0,9.5,75,Sunny
FT-1091,2026-02-04,USR-122,32,Non-binary,Fitbit Charge 5,11231.0,7.89,2088,79.0,,78,Cloudy
FT-1092,2026-02-25,USR-121,49,Female,Garmin Venu 3,9361.0,6.81,2097,,6.3,76,Cloudy
FT-1093,2026-03-04,USR-103,46,Non-binary,Apple Watch Series 9,8067.0,5.82,1958,59.0,7.5,82,Snowy
FT-1094,2026-01-04,USR-120,46,Non-binary,Apple Watch Series 9,15323.0,11.27,2427,119.0,7.4,72,Sunny
FT-1095,2026-02-19,USR-121,49,Female,Garmin Venu 3,9800.0,7.78,2150,71.0,8.4,79,
FT-1096,2026-02-13,USR-106,41,Female,Fitbit Charge 5,7920.0,5.94,2025,63.0,5.7,81,Cloudy
FT-1097,2026-03-27,USR-118,42,Female,Garmin Venu 3,10600.0,7.95,2142,75.0,7.9,90,Sunny
FT-1098,2026-03-28,USR-124,51,Female,Samsung Galaxy Watch 6,8449.0,5.62,2008,77.0,7.7,76,Cloudy
FT-1099,2026-02-21,USR-108,30,Male,Samsung Galaxy Watch 6,8773.0,6.92,2224,82.0,6.9,82,Cloudy
FT-1100,2026-01-22,USR-106,41,Female,Fitbit Charge 5,10300.0,7.33,2342,81.0,7.5,69,Rainy
FT-1101,2026-03-01,USR-115,41,Female,Apple Watch Series 9,10679.0,8.14,2165,86.0,8.2,66,Sunny
FT-1102,2026-01-17,USR-113,52,Non-binary,Fitbit Charge 5,13209.0,10.15,2263,88.0,8.1,85,Cloudy
FT-1103,2026-03-21,USR-109,36,Male,Apple Watch Series 9,10570.0,8.58,2240,82.0,5.8,80,Cloudy
FT-1104,2026-03-10,USR-121,49,Female,Garmin Venu 3,8037.0,5.58,1991,68.0,8.0,85,Snowy
FT-1105,2026-01-04,USR-123,27,Male,Garmin Venu 3,10333.0,6.65,2294,110.0,7.0,74,Sunny
FT-1106,2026-02-20,USR-118,42,Female,Garmin Venu 3,9878.0,7.58,2179,,7.2,82,Rainy
FT-1107,2026-03-17,USR-108,30,Male,Samsung Galaxy Watch 6,15580.0,12.56,2430,133.0,7.2,96,Cloudy
FT-1108,2026-03-14,USR-122,32,Non-binary,Fitbit Charge 5,8200.0,6.73,2215,79.0,6.9,82,Sunny
FT-1109,2026-03-26,USR-111,23,Male,Apple Watch Series 9,8032.0,6.19,2048,71.0,8.4,80,Cloudy
FT-1110,2026-01-04,USR-125,22,Non-binary,Apple Watch Series 9,8600.0,6.34,2103,89.0,7.0,80,Cloudy
FT-1111,2026-01-11,USR-125,22,Non-binary,Apple Watch Series 9,11948.0,9.4,2309,98.0,5.9,72,Cloudy
FT-1112,2026-03-24,USR-102,49,Non-binary,Garmin Venu 3,8801.0,6.3,2094,77.0,6.7,87,Rainy
FT-1113,2026-02-24,USR-108,30,Male,Samsung Galaxy Watch 6,7280.0,5.72,1801,63.0,7.3,74,Cloudy
FT-1114,2026-01-18,USR-102,49,Non-binary,Garmin Venu 3,14407.0,11.15,2679,123.0,8.5,87,Rainy
FT-1115,2026-03-01,USR-111,23,Male,Apple Watch Series 9,6582.0,5.43,1977,69.0,7.8,69,Cloudy
FT-1116,2026-01-24,USR-113,52,Non-binary,Fitbit Charge 5,13097.0,11.06,2400,96.0,6.2,74,Snowy
FT-1117,2026-01-07,USR-109,36,Male,Apple Watch Series 9,9749.0,7.57,2182,66.0,9.8,87,Cloudy
FT-1118,2026-02-03,USR-103,46,Non-binary,Apple Watch Series 9,10156.0,7.51,2064,80.0,7.4,77,Sunny
FT-1119,2026-02-18,USR-107,40,Non-binary,Garmin Venu 3,11430.0,8.68,2278,83.0,8.5,89,Cloudy
FT-1120,2026-02-11,USR-119,43,Non-binary,Garmin Venu 3,7534.0,5.02,1962,64.0,6.9,77,Cloudy
FT-1121,2026-01-28,USR-123,27,Male,Garmin Venu 3,12681.0,9.36,2491,111.0,7.7,72,Rainy
FT-1122,2026-02-28,USR-111,23,Male,Apple Watch Series 9,9837.0,7.31,1922,,8.0,84,Sunny
FT-1123,2026-02-11,USR-107,40,Non-binary,Garmin Venu 3,11217.0,8.32,2239,89.0,8.4,77,Sunny
FT-1124,2026-02-13,USR-121,49,Female,Garmin Venu 3,13115.0,10.03,2327,103.0,8.3,86,Rainy
FT-1125,2026-02-18,USR-116,35,Non-binary,Samsung Galaxy Watch 6,7383.0,5.28,2062,72.0,8.1,79,Sunny
FT-1126,2026-02-05,USR-113,52,Non-binary,Fitbit Charge 5,5934.0,4.96,1828,32.0,6.8,65,Sunny
FT-1127,2026-02-23,USR-121,49,Female,Garmin Venu 3,6466.0,4.91,1821,52.0,6.5,78,Cloudy
FT-1128,2026-02-02,USR-115,41,Female,Apple Watch Series 9,9516.0,7.23,2069,80.0,7.5,93,Snowy
FT-1129,2026-01-11,USR-105,51,Female,Apple Watch Series 9,10601.0,7.93,2249,97.0,8.1,84,Cloudy
FT-1130,2026-03-02,USR-109,36,Male,Apple Watch Series 9,7921.0,6.08,1906,62.0,6.9,77,Snowy
FT-1131,2026-01-03,USR-105,51,Female,Apple Watch Series 9,8535.0,6.82,2064,53.0,8.3,83,Rainy
FT-1132,2026-03-11,USR-108,30,Male,Samsung Galaxy Watch 6,8078.0,5.79,2023,75.0,8.7,80,Sunny
FT-1133,2026-01-07,USR-124,51,Female,Samsung Galaxy Watch 6,14950.0,11.1,2193,108.0,6.1,84,Rainy
FT-1134,2026-02-14,USR-118,42,Female,Garmin Venu 3,10023.0,7.5,2073,69.0,6.2,72,Cloudy
FT-1135,2026-01-29,USR-118,42,Female,Garmin Venu 3,9641.0,6.79,2010,73.0,6.9,80,Rainy
FT-1136,2026-03-25,USR-109,36,Male,Apple Watch Series 9,9297.0,6.74,1946,75.0,7.4,85,Rainy
FT-1137,2026-01-09,USR-124,51,Female,Samsung Galaxy Watch 6,6890.0,5.05,1794,54.0,6.5,72,Sunny
FT-1138,2026-03-25,USR-119,43,Non-binary,Garmin Venu 3,13233.0,10.41,2304,81.0,8.6,88,Sunny
FT-1139,2026-01-06,USR-114,49,Non-binary,Fitbit Charge 5,18305.0,14.02,2922,146.0,7.6,86,Snowy
FT-1140,2026-01-04,USR-119,43,Non-binary,Garmin Venu 3,12428.0,9.52,2423,110.0,7.1,77,
FT-1141,2026-02-01,USR-113,52,Non-binary,Fitbit Charge 5,8583.0,6.86,2033,78.0,5.5,85,Snowy
FT-1142,2026-01-26,USR-112,29,Non-binary,Garmin Venu 3,7689.0,5.79,1996,54.0,5.7,75,Rainy
FT-1143,2026-01-03,USR-108,30,Male,Samsung Galaxy Watch 6,10060.0,7.8,2116,80.0,7.4,84,Rainy
FT-1144,2026-03-21,USR-105,51,Female,Apple Watch Series 9,7971.0,6.02,1955,68.0,4.8,77,Snowy
FT-1145,2026-01-20,USR-117,54,Female,Samsung Galaxy Watch 6,11921.0,9.17,2211,100.0,8.2,81,
FT-1146,2026-01-31,USR-116,35,Non-binary,Samsung Galaxy Watch 6,14581.0,10.85,2339,118.0,6.9,86,Rainy
FT-1147,2026-01-17,USR-103,46,Non-binary,Apple Watch Series 9,8698.0,5.63,2001,65.0,10.5,80,Sunny
FT-1148,2026-03-02,USR-125,22,Non-binary,Apple Watch Series 9,8000.0,6.03,2046,,9.6,66,Rainy
FT-1149,2026-03-27,USR-102,49,Non-binary,Garmin Venu 3,9416.0,7.73,2135,82.0,6.9,73,Sunny
FT-1150,2026-01-15,USR-104,45,Female,Fitbit Charge 5,7843.0,6.33,2036,81.0,7.0,85,Cloudy
FT-1151,2026-03-14,USR-105,51,Female,Apple Watch Series 9,9969.0,7.96,2100,88.0,8.2,80,Cloudy
FT-1152,2026-01-28,USR-121,49,Female,Garmin Venu 3,11517.0,9.25,2367,99.0,9.0,78,Cloudy
FT-1153,2026-03-01,USR-106,41,Female,Fitbit Charge 5,6660.0,5.1,1804,60.0,5.3,69,Cloudy
FT-1154,2026-03-31,USR-122,32,Non-binary,Fitbit Charge 5,9805.0,7.53,2292,94.0,5.1,74,Cloudy
FT-1155,2026-02-02,USR-114,49,Non-binary,Fitbit Charge 5,8324.0,6.08,1965,74.0,6.4,67,Rainy
FT-1156,2026-02-17,USR-120,46,Non-binary,Apple Watch Series 9,9867.0,7.37,2043,72.0,7.7,78,Snowy
FT-1157,2026-01-22,USR-103,46,Non-binary,Apple Watch Series 9,11811.0,9.22,2207,107.0,7.6,79,
FT-1158,2026-03-19,USR-113,52,Non-binary,Fitbit Charge 5,7482.0,6.17,1968,71.0,8.3,73,Sunny
FT-1159,2026-03-19,USR-113,52,Non-binary,Fitbit Charge 5,10552.0,7.96,2279,80.0,5.8,79,Sunny
FT-1160,2026-01-15,USR-120,46,Non-binary,Apple Watch Series 9,,6.32,2095,67.0,4.6,80,Rainy
FT-1161,2026-01-21,USR-115,41,Female,Apple Watch Series 9,10466.0,7.95,2307,87.0,8.0,93,Cloudy
FT-1162,2026-02-09,USR-117,54,Female,Samsung Galaxy Watch 6,8976.0,7.06,2166,79.0,6.2,70,Snowy
FT-1163,2026-01-14,USR-109,36,Male,Apple Watch Series 9,11981.0,8.53,2200,96.0,4.9,88,Sunny
FT-1164,2026-03-16,USR-118,42,Female,Garmin Venu 3,9100.0,6.0,2081,78.0,7.3,85,Sunny
FT-1165,2026-01-04,USR-101,38,Male,Samsung Galaxy Watch 6,10004.0,7.38,2163,98.0,8.0,77,Rainy
FT-1166,2026-02-09,USR-122,32,Non-binary,Fitbit Charge 5,14197.0,10.3,2640,120.0,7.0,85,Snowy
FT-1167,2026-03-15,USR-124,51,Female,Samsung Galaxy Watch 6,6969.0,5.09,1842,63.0,6.6,75,
FT-1168,2026-03-28,USR-104,45,Female,Fitbit Charge 5,12733.0,9.62,2489,109.0,6.9,84,Cloudy
FT-1169,2026-02-18,USR-122,32,Non-binary,Fitbit Charge 5,8901.0,6.58,2133,64.0,6.7,87,Sunny
FT-1170,2026-02-20,USR-118,42,Female,Garmin Venu 3,8123.0,6.75,2236,73.0,5.6,82,Snowy
FT-1171,2026-01-26,USR-125,22,Non-binary,Apple Watch Series 9,12422.0,9.57,2373,115.0,6.3,86,Sunny
FT-1172,2026-01-10,USR-109,36,Male,Apple Watch Series 9,8815.0,6.82,2143,71.0,7.7,76,Cloudy
FT-1173,2026-03-17,USR-125,22,Non-binary,Apple Watch Series 9,11630.0,9.09,2471,84.0,7.5,71,Sunny
FT-1174,2026-03-30,USR-121,49,Female,Garmin Venu 3,,5.51,1921,60.0,7.3,76,Rainy
FT-1175,2026-03-22,USR-111,23,Male,Apple Watch Series 9,6556.0,5.4,1720,47.0,6.0,83,Sunny
FT-1176,2026-02-01,USR-104,45,Female,Fitbit Charge 5,13512.0,10.24,2188,97.0,6.9,72,Cloudy
FT-1177,2026-01-14,USR-110,38,Male,Fitbit Charge 5,10234.0,8.05,2236,79.0,4.7,73,Cloudy
FT-1178,2026-03-31,USR-114,49,Non-binary,Fitbit Charge 5,11532.0,8.34,2019,77.0,7.3,80,Rainy
FT-1179,2026-02-08,USR-106,41,Female,Fitbit Charge 5,13989.0,10.01,2408,108.0,8.7,76,Snowy
FT-1180,2026-03-29,USR-115,41,Female,Apple Watch Series 9,8601.0,6.86,2152,81.0,5.5,75,Cloudy
FT-1181,2026-03-18,USR-101,38,Male,Samsung Galaxy Watch 6,,7.68,2134,71.0,6.5,76,Rainy
FT-1182,2026-01-16,USR-124,51,Female,Samsung Galaxy Watch 6,12547.0,9.17,2452,113.0,7.5,75,Sunny
FT-1183,2026-03-14,USR-124,51,Female,Samsung Galaxy Watch 6,7891.0,5.65,2061,72.0,8.5,73,Cloudy
FT-1184,2026-01-06,USR-109,36,Male,Apple Watch Series 9,6646.0,5.5,2104,69.0,6.6,83,Sunny
FT-1185,2026-02-14,USR-117,54,Female,Samsung Galaxy Watch 6,9149.0,6.48,1981,69.0,6.3,71,Cloudy
FT-1186,2026-03-10,USR-125,22,Non-binary,Apple Watch Series 9,6986.0,5.97,1926,70.0,4.9,69,Cloudy
FT-1187,2026-02-24,USR-106,41,Female,Fitbit Charge 5,14557.0,10.7,2359,101.0,7.2,78,Snowy
FT-1188,2026-03-26,USR-117,54,Female,Samsung Galaxy Watch 6,12391.0,9.67,2455,106.0,9.3,86,Sunny
FT-1189,2026-02-17,USR-104,45,Female,Fitbit Charge 5,16779.0,12.62,2737,128.0,7.4,83,Sunny
FT-1190,2026-01-09,USR-121,49,Female,Garmin Venu 3,9853.0,7.73,2226,86.0,7.1,77,Cloudy
FT-1191,2026-03-06,USR-110,38,Male,Fitbit Charge 5,9551.0,7.04,2197,66.0,7.5,78,Snowy
FT-1192,2026-03-24,USR-121,49,Female,Garmin Venu 3,8666.0,6.52,1912,63.0,7.1,67,Rainy
FT-1193,2026-02-13,USR-117,54,Female,Samsung Galaxy Watch 6,12721.0,9.68,2548,105.0,6.2,85,Sunny
FT-1194,2026-01-02,USR-120,46,Non-binary,Apple Watch Series 9,5875.0,4.06,1985,44.0,8.0,78,Cloudy
FT-1195,2026-02-23,USR-107,40,Non-binary,Garmin Venu 3,7456.0,5.96,2082,69.0,7.3,76,Cloudy
FT-1196,2026-03-04,USR-105,51,Female,Apple Watch Series 9,14126.0,10.53,2570,95.0,7.1,87,Snowy
FT-1197,2026-01-14,USR-112,29,Non-binary,Garmin Venu 3,8623.0,6.46,1939,80.0,6.0,73,Sunny
FT-1198,2026-02-25,USR-125,22,Non-binary,Apple Watch Series 9,11006.0,7.97,2129,76.0,8.5,86,Sunny
FT-1199,2026-02-16,USR-106,41,Female,Fitbit Charge 5,8948.0,5.78,2044,80.0,7.8,80,Sunny
FT-1200,2026-03-23,USR-118,42,Female,Garmin Venu 3,12506.0,9.43,2440,104.0,6.5,80,Sunny
FT-1201,2026-02-28,USR-125,22,Non-binary,Apple Watch Series 9,10703.0,9.1,2078,79.0,8.2,79,Rainy
FT-1202,2026-01-20,USR-117,54,Female,Samsung Galaxy Watch 6,7235.0,5.81,2075,69.0,6.6,78,Cloudy
FT-1203,2026-02-25,USR-101,38,Male,Samsung Galaxy Watch 6,6735.0,5.11,2085,62.0,6.2,85,Cloudy
FT-1204,2026-01-23,USR-120,46,Non-binary,Apple Watch Series 9,11152.0,8.37,2289,83.0,6.3,73,Cloudy
FT-1205,2026-03-08,USR-111,23,Male,Apple Watch Series 9,,6.59,2053,62.0,5.2,73,Cloudy
FT-1206,2026-03-25,USR-116,35,Non-binary,Samsung Galaxy Watch 6,10702.0,8.35,2026,66.0,7.6,84,Sunny
FT-1207,2026-02-04,USR-101,38,Male,Samsung Galaxy Watch 6,,7.46,2128,88.0,5.1,77,Rainy
FT-1208,2026-03-20,USR-104,45,Female,Fitbit Charge 5,6408.0,5.32,1970,,5.7,81,Sunny
FT-1209,2026-03-10,USR-112,29,Non-binary,Garmin Venu 3,10269.0,8.09,2266,84.0,4.8,90,Sunny
FT-1210,2026-03-03,USR-110,38,Male,Fitbit Charge 5,7722.0,6.16,1988,63.0,7.0,75,
FT-1211,2026-03-01,USR-108,30,Male,Samsung Galaxy Watch 6,10440.0,8.11,2185,91.0,6.9,85,Sunny
FT-1212,2026-02-25,USR-102,49,Non-binary,Garmin Venu 3,12127.0,9.22,2096,92.0,6.7,74,Rainy
FT-1213,2026-03-17,USR-108,30,Male,Samsung Galaxy Watch 6,8561.0,6.78,1941,68.0,6.0,83,Sunny
FT-1214,2026-02-04,USR-119,43,Non-binary,Garmin Venu 3,9794.0,7.68,2374,87.0,5.8,81,Sunny
FT-1215,2026-02-11,USR-103,46,Non-binary,Apple Watch Series 9,7856.0,5.83,1901,70.0,,81,Rainy
FT-1216,2026-02-01,USR-103,46,Non-binary,Apple Watch Series 9,7156.0,5.21,1997,65.0,6.5,74,
FT-1217,2026-01-12,USR-124,51,Female,Samsung Galaxy Watch 6,7970.0,6.1,2143,72.0,,69,Sunny
FT-1218,2026-02-05,USR-116,35,Non-binary,Samsung Galaxy Watch 6,11445.0,9.32,2069,75.0,6.1,82,
FT-1219,2026-02-27,USR-103,46,Non-binary,Apple Watch Series 9,,8.92,2386,105.0,7.3,70,Sunny
FT-1220,2026-02-01,USR-125,22,Non-binary,Apple Watch Series 9,8389.0,5.79,2175,,8.5,77,Rainy
FT-1221,2026-03-01,USR-118,42,Female,Garmin Venu 3,11526.0,8.83,2226,81.0,7.7,85,Sunny
FT-1222,2026-03-14,USR-125,22,Non-binary,Apple Watch Series 9,8584.0,6.54,2340,69.0,6.6,80,Sunny
