User_ID,User_Name,Country,Genre,Movie_Name,Watch_Hours,Rating,Subscription_Type,Device,Watch_Date
37,Caitlin,UK,Action,Television,1.5,6,Basic,Laptop,2025-03-14
38,Samantha,UK,Sci-Fi,Character,1.0,2,Premium,Mobile,2025-05-10
39,Mary,UK,Sci-Fi,Traditional,2.1,8,Basic,TV,2025-05-03
40,Karen,USA,Romance,Remain,3.2,9,Basic,Mobile,2025-01-08
41,Ricardo,USA,Action,Happy,3.7,8,Basic,TV,2025-05-29
42,Kenneth,USA,Drama,Music,1.0,5,Standard,Tablet,2025-03-24
43,Danielle,UK,Drama,Represent,1.4,2,Premium,Laptop,2025-06-08
44,Susan,USA,Drama,Similar,3.7,2,Premium,Laptop,2025-02-19
45,Jackie,Canada,Action,Action,1.7,2,Basic,Laptop,2025-03-22
46,Donald,Japan,Sci-Fi,Recently,3.8,1,Standard,Mobile,2025-05-01
47,Holly,Canada,Comedy,Finish,2.7,7,Basic,Tablet,2025-01-22
48,Maria,UK,Drama,Wind,1.4,5,Standard,Tablet,2025-02-16
49,Renee,UK,Horror,Financial,2.0,5,Basic,Mobile,2025-03-08
50,Sean,USA,Comedy,Determine,2.4,6,Premium,Tablet,2025-06-19
51,Tyler,UK,Sci-Fi,Bar,1.5,9,Basic,Tablet,2025-04-05
52,Rebecca,Japan,Action,Sort,0.7,8,Basic,TV,2025-03-28
53,Brandi,Japan,Sci-Fi,Consumer,4.7,5,Premium,TV,2025-01-11
54,Joshua,UK,Comedy,Just,2.3,6,Premium,Laptop,2025-05-17
55,Christopher,Japan,Sci-Fi,Few,2.7,7,Basic,Tablet,2025-03-29
56,Kristin,USA,Comedy,Marriage,2.9,3,Basic,Mobile,2025-01-25
57,Nicole,Canada,Comedy,Ready,4.1,5,Standard,Tablet,2025-06-07
58,Alyssa,Canada,Drama,Fish,0.7,5,Premium,TV,2025-06-26
59,Kristin,Japan,Romance,Eat,0.8,5,Basic,TV,2025-06-28
60,Steve,Canada,Action,Book,4.9,7,Basic,TV,2025-03-21
61,Amy,India,Romance,Not,2.9,2,Standard,Tablet,2025-01-21
62,David,USA,Sci-Fi,Including,1.8,9,Premium,TV,2025-05-17
63,Timothy,Japan,Romance,Bit,0.9,8,Premium,Laptop,2025-02-16
64,Paige,UK,Sci-Fi,Claim,0.9,10,Premium,Mobile,2025-05-16
65,Kara,UK,Horror,Sister,2.0,7,Standard,Laptop,2025-04-12
66,David,Canada,Drama,How,3.9,2,Basic,TV,2025-06-25
67,John,India,Comedy,Perform,0.5,10,Standard,Tablet,2025-04-19
68,Christopher,Canada,Comedy,Yard,3.7,3,Basic,TV,2025-06-12
69,Scott,USA,Romance,Yourself,0.5,7,Premium,Laptop,2025-04-10
70,Jason,Canada,Comedy,Room,4.8,4,Standard,TV,2025-02-06
71,Raymond,Canada,Sci-Fi,Point,2.9,7,Premium,Tablet,2025-03-17
72,Megan,USA,Horror,Reason,3.0,3,Premium,Mobile,2025-01-30
73,David,Canada,Comedy,Wish,2.8,7,Basic,Mobile,2025-01-06
74,Jesse,India,Drama,Ball,1.5,7,Premium,Laptop,2025-01-20
75,Scott,Japan,Drama,Natural,2.6,10,Premium,TV,2025-06-07
76,John,Canada,Comedy,Community,2.3,2,Standard,Mobile,2025-03-31
77,Cameron,India,Romance,Top,4.9,1,Premium,Tablet,2025-03-16
78,Amanda,Canada,Horror,Effort,1.6,3,Premium,TV,2025-04-16
79,Christopher,USA,Horror,Grow,0.6,7,Standard,Laptop,2025-03-16
80,Felicia,USA,Romance,Cause,1.2,1,Basic,Tablet,2025-06-19
81,Morgan,Japan,Romance,Natural,4.6,6,Basic,TV,2025-03-30
82,Angela,Japan,Drama,Read,3.1,9,Standard,TV,2025-03-04
83,Patricia,India,Sci-Fi,Human,1.7,3,Premium,Laptop,2025-03-22
84,Brady,Canada,Sci-Fi,Reflect,1.6,3,Standard,Laptop,2025-03-01
85,Benjamin,UK,Horror,Really,2.1,3,Basic,TV,2025-04-14
86,Tyler,India,Horror,Present,4.2,8,Premium,TV,2025-03-14
87,Jasmine,Canada,Horror,Us,5.0,1,Standard,Tablet,2025-05-29
88,Randall,Canada,Romance,Pull,4.3,9,Premium,Mobile,2025-05-04
89,Brady,India,Horror,Change,5.0,3,Standard,TV,2025-05-15
90,Michele,UK,Romance,Blue,2.4,10,Basic,Mobile,2025-04-06
91,Mark,UK,Action,Test,2.6,4,Premium,Tablet,2025-01-21
92,Michael,India,Action,Condition,3.7,10,Standard,Mobile,2025-04-27
93,Linda,Canada,Horror,Positive,2.7,8,Standard,Mobile,2025-03-27
94,Jeffrey,USA,Action,Matter,4.0,3,Premium,Tablet,2025-05-26
95,Anna,USA,Horror,Exactly,0.9,6,Basic,Mobile,2025-05-27
96,Whitney,USA,Drama,Memory,4.0,2,Standard,Mobile,2025-05-15
97,Rhonda,USA,Sci-Fi,And,0.5,6,Basic,Mobile,2025-03-16
98,Rebecca,Japan,Romance,Draw,3.9,1,Premium,TV,2025-06-30
99,Kristin,USA,Action,Past,3.8,8,Premium,Tablet,2025-03-08
100,Timothy,UK,Sci-Fi,Former,3.3,5,Basic,Tablet,2025-05-03
101,Shannon,UK,Romance,Vote,0.5,5,Standard,Mobile,2025-05-25
102,Lawrence,Japan,Comedy,Ability,4.1,3,Standard,Laptop,2025-02-17
103,Cory,USA,Horror,Senior,1.1,9,Standard,Mobile,2025-01-19
104,Roger,India,Horror,Industry,3.7,10,Premium,Laptop,2025-05-31
105,Joshua,Japan,Drama,Issue,4.5,7,Basic,TV,2025-01-26
106,Donna,Japan,Romance,Factor,0.7,9,Premium,TV,2025-04-13
107,Lisa,Japan,Comedy,Travel,3.9,5,Basic,Tablet,2025-02-26
108,Kathryn,India,Romance,Others,1.0,1,Premium,TV,2025-04-07
109,Peter,Japan,Horror,Keep,4.6,9,Basic,Tablet,2025-05-23
110,Paul,Japan,Action,Quickly,3.5,2,Standard,Mobile,2025-01-13
111,Anne,USA,Drama,Difference,2.9,4,Basic,Laptop,2025-03-18
112,Marilyn,USA,Sci-Fi,Development,1.0,8,Basic,Tablet,2025-04-26
113,Terri,Canada,Horror,Only,2.5,7,Premium,TV,2025-04-29
114,Sarah,India,Sci-Fi,Force,2.7,5,Basic,Mobile,2025-06-23
115,Paul,USA,Romance,Back,4.8,4,Premium,Mobile,2025-05-19
116,Kathy,Japan,Sci-Fi,Type,4.3,1,Standard,Mobile,2025-03-26
117,Arthur,India,Action,Model,3.9,10,Basic,Mobile,2025-03-08
118,Gregory,USA,Horror,Consumer,3.5,8,Standard,TV,2025-03-22
119,Travis,USA,Romance,Force,3.5,8,Standard,Laptop,2025-01-25
120,Johnathan,UK,Horror,Learn,0.8,5,Basic,Tablet,2025-05-17
121,Amanda,USA,Horror,Very,4.6,4,Premium,Mobile,2025-06-08
122,Joseph,USA,Sci-Fi,Worker,4.5,10,Basic,TV,2025-05-30
123,Melissa,USA,Drama,Remain,1.6,10,Standard,TV,2025-06-26
124,Jessica,India,Romance,Build,1.3,6,Premium,TV,2025-01-06
125,Tracy,UK,Horror,In,2.3,6,Basic,Laptop,2025-05-05
126,Victoria,Canada,Romance,Picture,4.7,7,Basic,Mobile,2025-03-24
127,Frank,UK,Action,News,3.3,9,Basic,Laptop,2025-02-15
128,Alexander,Japan,Sci-Fi,Summer,4.6,7,Premium,TV,2025-01-27
129,Gail,Canada,Sci-Fi,Know,3.8,3,Premium,Mobile,2025-06-22
130,Ronnie,Canada,Comedy,Third,0.6,5,Basic,TV,2025-06-10
131,Joel,India,Comedy,Positive,4.1,4,Premium,Laptop,2025-04-09
132,Nicole,India,Sci-Fi,After,3.3,3,Standard,Mobile,2025-03-25
133,Karen,UK,Comedy,Owner,2.7,7,Standard,Mobile,2025-04-26
134,Kenneth,Canada,Sci-Fi,Baby,4.3,7,Premium,Laptop,2025-03-30
135,Benjamin,Japan,Drama,Baby,0.7,9,Premium,Mobile,2025-05-29
136,Kayla,Japan,Horror,Because,1.3,9,Premium,Mobile,2025-06-19
137,Jennifer,Canada,Horror,Property,0.5,5,Standard,TV,2025-02-02
138,Adrian,India,Drama,Start,4.8,10,Basic,Mobile,2025-02-26
139,Anna,Japan,Romance,Charge,3.7,7,Basic,Mobile,2025-03-02
140,Carlos,India,Action,Environment,3.0,3,Standard,TV,2025-02-04
141,Stacey,Japan,Romance,Customer,1.3,9,Basic,Laptop,2025-01-14
142,Jacqueline,India,Action,Small,3.9,9,Premium,TV,2025-05-23
143,Susan,Japan,Romance,Term,3.0,8,Premium,Tablet,2025-03-02
144,Nicholas,India,Romance,Nature,0.6,1,Basic,Laptop,2025-01-28
145,Julie,USA,Action,Business,2.1,6,Premium,TV,2025-01-06
146,Michael,Japan,Comedy,Short,3.3,8,Standard,Laptop,2025-02-17
147,Brandi,UK,Drama,Challenge,1.4,4,Basic,Laptop,2025-01-28
148,Vanessa,USA,Action,Environment,1.2,10,Basic,Tablet,2025-04-25
149,John,India,Horror,Religious,4.3,1,Basic,Mobile,2025-04-15
150,Michele,USA,Horror,Parent,0.7,1,Standard,Tablet,2025-02-27
151,Shelly,Canada,Action,Character,3.7,4,Basic,Laptop,2025-06-03
152,Abigail,UK,Action,Seat,1.4,5,Basic,TV,2025-05-21
153,Jasmine,Japan,Comedy,Happy,5.0,6,Premium,Laptop,2025-04-24
154,Charles,USA,Romance,Watch,3.5,7,Premium,Tablet,2025-04-16
155,Andrew,Japan,Romance,Training,1.5,6,Basic,Laptop,2025-03-25
156,Regina,USA,Action,Close,1.5,1,Standard,TV,2025-05-12
157,Donna,UK,Action,Others,3.6,4,Premium,TV,2025-06-19
158,Karen,India,Romance,Like,3.5,1,Basic,Mobile,2025-03-12
159,Francis,Japan,Sci-Fi,Research,4.2,1,Standard,Mobile,2025-06-17
160,Amy,India,Romance,Nation,1.9,5,Basic,Tablet,2025-05-14
161,Samuel,India,Romance,First,1.1,6,Standard,TV,2025-04-21
162,Edward,Canada,Romance,Interest,3.3,5,Premium,Tablet,2025-01-09
163,Russell,Canada,Drama,Training,1.3,6,Basic,Tablet,2025-01-04
164,Joseph,India,Comedy,Particularly,1.0,7,Standard,TV,2025-05-25
165,Thomas,USA,Horror,Control,0.9,10,Basic,TV,2025-05-25
166,Aaron,Canada,Comedy,Dream,2.4,4,Basic,Laptop,2025-01-30
167,Richard,USA,Drama,Central,4.7,2,Premium,Tablet,2025-03-07
168,Elizabeth,Japan,Horror,Which,4.5,2,Basic,TV,2025-05-09
169,Tiffany,India,Action,Red,3.8,9,Standard,Mobile,2025-03-12
170,Tracy,India,Comedy,Forward,0.6,1,Standard,TV,2025-03-03
171,Jennifer,Japan,Horror,Whatever,4.5,4,Premium,Mobile,2025-06-24
172,Amber,UK,Drama,Act,3.9,9,Premium,Tablet,2025-01-16
173,Amanda,Canada,Sci-Fi,Produce,1.8,3,Premium,TV,2025-05-31
174,Joseph,USA,Romance,Argue,4.2,5,Basic,Mobile,2025-03-06
175,Todd,India,Action,Various,1.0,6,Basic,TV,2025-05-06
176,Carol,Japan,Comedy,Education,1.5,3,Standard,TV,2025-06-12
177,Brittany,USA,Drama,Rise,3.6,1,Standard,Mobile,2025-04-21
178,Dana,USA,Sci-Fi,Plant,3.6,10,Premium,TV,2025-02-26
179,Megan,USA,Romance,Same,3.1,4,Premium,TV,2025-02-13
180,Marc,USA,Romance,Employee,4.7,10,Basic,Laptop,2025-05-29
181,Darryl,USA,Comedy,Them,1.7,8,Premium,TV,2025-05-03
182,Charlotte,UK,Drama,New,1.8,6,Premium,Tablet,2025-03-04
183,Colleen,Canada,Drama,Better,2.7,7,Standard,TV,2025-01-14
184,Kimberly,Canada,Horror,Half,3.3,3,Premium,Laptop,2025-06-23
185,Amber,India,Romance,Same,1.9,6,Basic,Laptop,2025-06-15
186,Lauren,USA,Action,Hour,4.5,6,Basic,Tablet,2025-03-18
187,Joseph,Japan,Action,Cell,3.9,3,Premium,Laptop,2025-04-15
188,Tammy,USA,Comedy,Here,3.5,10,Premium,Laptop,2025-05-10
189,Kirsten,UK,Sci-Fi,Too,5.0,8,Basic,Mobile,2025-04-22
190,Kristine,India,Drama,Leader,2.8,5,Standard,Mobile,2025-06-23
191,Jacob,Japan,Drama,Board,4.5,6,Basic,Laptop,2025-03-28
192,Ricky,India,Comedy,Share,4.6,3,Basic,Tablet,2025-03-16
193,Joshua,USA,Comedy,Run,0.7,5,Standard,Mobile,2025-02-26
194,Kathy,India,Comedy,Build,1.9,3,Premium,Mobile,2025-01-28
195,Regina,UK,Action,Skill,4.5,4,Basic,Laptop,2025-01-15
196,Steve,Canada,Action,Small,0.9,6,Basic,Laptop,2025-03-16
197,Shawn,India,Romance,Themselves,1.1,4,Basic,Mobile,2025-06-10
198,Raymond,India,Drama,Realize,3.6,6,Standard,TV,2025-05-05
199,Sean,USA,Action,Best,2.4,5,Standard,Mobile,2025-01-28
200,Renee,UK,Drama,Debate,3.0,9,Premium,Tablet,2025-02-13
201,Michael,Canada,Sci-Fi,Cost,4.7,5,Basic,Mobile,2025-02-20
202,Lacey,USA,Comedy,Grow,4.9,10,Standard,Tablet,2025-06-02
203,Rebecca,India,Romance,Friend,3.4,3,Basic,Tablet,2025-01-03
204,Tanya,India,Action,Only,1.1,6,Standard,Tablet,2025-04-23
205,Sean,Japan,Sci-Fi,Tree,3.4,9,Basic,Mobile,2025-06-14
206,Nicholas,India,Drama,Policy,3.8,5,Premium,Mobile,2025-02-09
207,Joshua,USA,Sci-Fi,Third,4.8,8,Premium,Laptop,2025-01-28
208,Russell,Japan,Romance,Assume,1.5,5,Premium,Mobile,2025-03-19
209,Heather,UK,Horror,Without,3.4,3,Standard,Tablet,2025-06-24
210,Monica,Canada,Action,Discover,2.9,1,Premium,TV,2025-04-18
211,Teresa,UK,Romance,Arm,3.3,5,Premium,Mobile,2025-01-27
212,Daniel,Japan,Drama,Prevent,3.5,7,Premium,Tablet,2025-02-25
213,Michele,Canada,Action,Well,4.0,8,Premium,Tablet,2025-01-31
214,Oscar,India,Drama,Like,1.5,6,Premium,TV,2025-05-07
215,Sarah,India,Comedy,Attention,3.0,5,Premium,Tablet,2025-01-03
216,Brady,Japan,Comedy,Heart,3.8,2,Standard,Laptop,2025-02-21
217,Roger,Japan,Horror,Civil,1.4,5,Basic,Laptop,2025-01-12
218,Emily,India,Drama,Analysis,2.8,5,Basic,Mobile,2025-02-15
219,Justin,USA,Action,Lead,2.7,4,Premium,Tablet,2025-05-23
220,Christopher,USA,Sci-Fi,Color,1.9,9,Premium,TV,2025-06-06
221,Michael,UK,Romance,Company,4.3,3,Premium,Tablet,2025-01-19
222,Cole,India,Comedy,Two,2.6,10,Basic,Tablet,2025-06-22
223,Jonathan,India,Sci-Fi,Today,4.8,7,Basic,Tablet,2025-06-20
224,Mario,Japan,Romance,Very,3.6,4,Standard,Tablet,2025-01-28
225,Caitlin,India,Drama,Will,3.4,1,Basic,TV,2025-05-26
226,William,USA,Drama,Fill,0.6,2,Basic,Laptop,2025-03-28
227,Thomas,Japan,Drama,Continue,1.5,9,Basic,Tablet,2025-01-29
228,Taylor,UK,Romance,Case,4.6,7,Premium,TV,2025-03-07
229,Albert,USA,Drama,Simple,1.4,1,Premium,Laptop,2025-01-27
230,Kendra,USA,Comedy,Sign,3.2,4,Standard,Tablet,2025-04-09
231,Lisa,USA,Drama,Lose,4.4,1,Standard,Mobile,2025-04-20
232,Amy,Japan,Comedy,Factor,2.1,7,Premium,Mobile,2025-05-14
233,Dylan,UK,Horror,Great,0.7,2,Premium,Laptop,2025-06-01
234,Suzanne,USA,Comedy,Condition,1.7,4,Standard,TV,2025-02-16
235,Anna,India,Comedy,Mean,0.6,6,Standard,Tablet,2025-04-21
236,William,UK,Romance,Where,1.7,6,Standard,Mobile,2025-03-19
237,Paul,Canada,Romance,Huge,1.8,6,Premium,TV,2025-03-14
238,Shannon,Canada,Drama,Role,0.9,8,Premium,Laptop,2025-06-20
239,Mark,Canada,Action,East,3.9,7,Basic,Tablet,2025-04-15
240,Kenneth,India,Romance,Economy,1.9,2,Basic,Laptop,2025-02-19
241,Daniel,India,Sci-Fi,Pressure,2.6,5,Basic,Mobile,2025-03-15
242,Jeanne,UK,Sci-Fi,Outside,4.2,5,Standard,TV,2025-02-09
243,Samuel,UK,Comedy,Test,4.9,9,Premium,Laptop,2025-01-14
244,Susan,India,Action,Accept,3.4,10,Standard,Mobile,2025-01-22
245,Emily,Japan,Sci-Fi,Including,4.7,5,Basic,Tablet,2025-02-11
246,Brittney,USA,Horror,Grow,3.4,9,Basic,Tablet,2025-06-24
247,Emily,USA,Action,Foreign,4.3,1,Standard,TV,2025-01-31
248,Valerie,Japan,Horror,Measure,0.7,2,Basic,Mobile,2025-04-28
249,Ian,India,Sci-Fi,Sure,1.1,5,Premium,TV,2025-05-05
250,Jeremy,UK,Drama,Owner,2.7,10,Basic,Tablet,2025-04-13
251,Scott,UK,Romance,Population,4.5,10,Premium,Laptop,2025-05-18
252,Paul,India,Sci-Fi,Television,0.5,9,Premium,Mobile,2025-01-12
253,Angelica,Japan,Romance,Role,4.6,3,Premium,TV,2025-02-26
254,David,USA,Comedy,Once,3.4,9,Basic,Mobile,2025-06-20
255,Jonathan,Canada,Horror,Skin,3.3,1,Standard,Laptop,2025-01-30
256,Marcus,Japan,Sci-Fi,Pull,2.7,10,Standard,Laptop,2025-01-27
257,Nicholas,Japan,Comedy,Line,0.8,4,Basic,TV,2025-05-17
258,Brittany,Canada,Drama,American,3.3,9,Standard,Laptop,2025-01-14
259,Leah,USA,Sci-Fi,Bank,3.0,2,Standard,Mobile,2025-04-28
260,Robert,India,Comedy,Year,3.9,8,Standard,Tablet,2025-06-20
261,Danielle,USA,Drama,First,4.0,6,Premium,Mobile,2025-01-25
262,Isaac,Japan,Action,Go,4.2,1,Standard,Laptop,2025-06-01
263,Theodore,Canada,Sci-Fi,Feel,3.0,9,Basic,TV,2025-02-06
264,Aaron,India,Sci-Fi,Oil,4.0,6,Basic,Laptop,2025-01-09
265,Andres,India,Drama,Traditional,2.4,2,Premium,Mobile,2025-01-09
266,Matthew,Canada,Sci-Fi,Night,4.4,10,Premium,Tablet,2025-04-30
267,Cindy,USA,Horror,School,2.4,2,Premium,Laptop,2025-03-10
268,Jessica,Canada,Drama,Say,3.8,1,Standard,Tablet,2025-05-13
269,Matthew,Japan,Sci-Fi,Drug,3.6,3,Basic,Laptop,2025-01-05
270,Matthew,Japan,Romance,Nation,4.9,2,Premium,TV,2025-02-26
271,Penny,USA,Horror,Heavy,4.6,7,Standard,Laptop,2025-05-20
272,Carl,Japan,Comedy,Least,1.7,6,Standard,Mobile,2025-02-07
273,Kristen,India,Drama,Public,3.6,10,Basic,Laptop,2025-01-24
274,Victoria,Canada,Sci-Fi,Would,3.7,3,Basic,Mobile,2025-02-04
275,Rachel,India,Romance,Use,3.3,3,Standard,Tablet,2025-02-20
276,David,Japan,Drama,Inside,2.7,8,Standard,TV,2025-02-06
277,Darlene,India,Drama,Show,2.0,1,Basic,Laptop,2025-03-10
278,Rhonda,Japan,Drama,Dark,3.1,8,Basic,TV,2025-02-28
279,Tiffany,UK,Romance,Production,3.2,7,Premium,Mobile,2025-02-19
280,Margaret,USA,Comedy,Television,3.4,4,Standard,Tablet,2025-02-09
281,Erik,India,Sci-Fi,Exactly,4.7,6,Basic,TV,2025-05-09
282,Caleb,Canada,Horror,Left,1.4,4,Standard,Tablet,2025-03-03
283,Barbara,Canada,Drama,Sea,4.5,2,Premium,Laptop,2025-03-07
284,Alexander,Japan,Drama,Against,4.1,9,Premium,Mobile,2025-06-24
285,Stacey,Canada,Horror,Job,4.1,10,Basic,TV,2025-03-12
286,Craig,Canada,Comedy,Meeting,4.3,1,Standard,TV,2025-03-13
287,Shelby,Canada,Drama,Born,1.6,6,Standard,Tablet,2025-04-23
288,Ronald,Canada,Action,Generation,4.5,10,Premium,Mobile,2025-04-25
289,Veronica,Canada,Horror,Something,3.4,4,Premium,Laptop,2025-01-06
290,Karen,USA,Sci-Fi,Entire,1.9,9,Basic,Laptop,2025-02-15
291,Lauren,Japan,Horror,Crime,1.1,1,Premium,Tablet,2025-06-03
292,Kenneth,UK,Sci-Fi,Least,0.9,3,Standard,TV,2025-04-19
293,Alexander,Canada,Romance,Suggest,2.8,3,Standard,TV,2025-06-07
294,Joshua,Canada,Sci-Fi,Tax,2.5,10,Basic,Tablet,2025-05-04
295,Kevin,India,Comedy,Off,3.8,8,Basic,TV,2025-02-21
296,Gary,India,Action,Food,1.7,8,Basic,Laptop,2025-05-23
297,Tina,Japan,Comedy,Must,4.3,5,Premium,Mobile,2025-03-11
298,Sierra,India,Horror,Opportunity,2.1,10,Basic,Mobile,2025-01-13
299,Jonathan,USA,Drama,Money,4.4,4,Basic,Laptop,2025-05-19
300,Becky,Japan,Comedy,Give,3.9,3,Basic,TV,2025-05-14
